person_id,learnings,school_id,letter,summercamp,female,parental_schooling,parental_lincome,year,test_score
1,10.251338680199419,5,0,0,1,10,12.939208973245732,2,1.1901169947158543
1,10.251338680199419,5,0,0,1,10,12.939208973245732,3,2.0745935189686553
1,10.251338680199419,5,0,0,1,10,12.939208973245732,4,2.0318051479965464
1,10.251338680199419,5,0,0,1,10,12.939208973245732,7,2.5172193420828153
1,10.251338680199419,5,0,0,1,10,12.939208973245732,8,1.971856392147531
1,10.251338680199419,5,0,0,1,10,12.939208973245732,9,1.3926980997847307
1,10.251338680199419,5,0,0,1,10,12.939208973245732,10,1.9104017042158707
1,10.251338680199419,5,0,0,1,10,12.939208973245732,6,1.6362839220330614
2,8.249996032483583,14,0,1,0,11,14.7373913174694,2,1.3463093236017063
2,8.249996032483583,14,0,1,0,11,14.7373913174694,3,1.3144702289387862
2,8.249996032483583,14,0,1,0,11,14.7373913174694,4,1.548455201148074
2,8.249996032483583,14,0,1,0,11,14.7373913174694,7,1.7684310062441166
2,8.249996032483583,14,0,1,0,11,14.7373913174694,8,2.311146123120214
2,8.249996032483583,14,0,1,0,11,14.7373913174694,9,1.4847609464309894
2,8.249996032483583,14,0,1,0,11,14.7373913174694,10,1.7759402293045352
2,8.249996032483583,14,0,1,0,11,14.7373913174694,5,1.2970361399150157
2,8.249996032483583,14,0,1,0,11,14.7373913174694,6,2.5614490799815166
3,8.93762751023142,7,0,1,0,14,16.08326138256038,2,2.8264718140224505
3,8.93762751023142,7,0,1,0,14,16.08326138256038,3,2.4290113735318735
3,8.93762751023142,7,0,1,0,14,16.08326138256038,4,3.213252187697604
3,8.93762751023142,7,0,1,0,14,16.08326138256038,7,3.0638350168562596
3,8.93762751023142,7,0,1,0,14,16.08326138256038,8,3.231253449447018
3,8.93762751023142,7,0,1,0,14,16.08326138256038,9,3.2089803451948344
3,8.93762751023142,7,0,1,0,14,16.08326138256038,10,2.9108130740132827
3,8.93762751023142,7,0,1,0,14,16.08326138256038,5,2.761908039866146
3,8.93762751023142,7,0,1,0,14,16.08326138256038,6,3.52600223635053
4,8.891392486724527,8,0,0,0,12,14.608081289283419,2,2.793031824466977
4,8.891392486724527,8,0,0,0,12,14.608081289283419,3,2.573202692194001
4,8.891392486724527,8,0,0,0,12,14.608081289283419,4,1.4454520991360427
4,8.891392486724527,8,0,0,0,12,14.608081289283419,7,2.7418227334704595
4,8.891392486724527,8,0,0,0,12,14.608081289283419,8,2.9573264665901466
4,8.891392486724527,8,0,0,0,12,14.608081289283419,9,2.6600519414050097
4,8.891392486724527,8,0,0,0,12,14.608081289283419,10,2.1179397263129287
4,8.891392486724527,8,0,0,0,12,14.608081289283419,5,1.7729126301945992
4,8.891392486724527,8,0,0,0,12,14.608081289283419,6,2.381062293028093
5,8.741616118053079,9,0,1,0,11,13.756785379313774,2,1.7605448144911344
5,8.741616118053079,9,0,1,0,11,13.756785379313774,3,1.9880671207919995
5,8.741616118053079,9,0,1,0,11,13.756785379313774,4,1.3279718557929046
5,8.741616118053079,9,0,1,0,11,13.756785379313774,7,1.9499393720109397
5,8.741616118053079,9,0,1,0,11,13.756785379313774,8,1.9793040538118187
5,8.741616118053079,9,0,1,0,11,13.756785379313774,9,2.107771224424733
5,8.741616118053079,9,0,1,0,11,13.756785379313774,10,1.7878890655117294
5,8.741616118053079,9,0,1,0,11,13.756785379313774,5,1.1803560455811033
5,8.741616118053079,9,0,1,0,11,13.756785379313774,6,1.9598178539752207
6,10.455791249408412,26,0,1,1,11,14.705519374977555,2,2.3237747983183024
6,10.455791249408412,26,0,1,1,11,14.705519374977555,3,2.4356651876681017
6,10.455791249408412,26,0,1,1,11,14.705519374977555,4,2.3511060739624776
6,10.455791249408412,26,0,1,1,11,14.705519374977555,7,3.4418671907530003
6,10.455791249408412,26,0,1,1,11,14.705519374977555,8,3.117000241431769
6,10.455791249408412,26,0,1,1,11,14.705519374977555,9,2.787196730052125
6,10.455791249408412,26,0,1,1,11,14.705519374977555,10,3.250409916693115
6,10.455791249408412,26,0,1,1,11,14.705519374977555,5,2.4398015345074273
6,10.455791249408412,26,0,1,1,11,14.705519374977555,6,2.810571056720097
7,8.48811936609286,13,1,1,1,11,14.35046349607248,2,1.9913563325427008
7,8.48811936609286,13,1,1,1,11,14.35046349607248,3,2.8974462558779326
7,8.48811936609286,13,1,1,1,11,14.35046349607248,4,2.2740744336964505
7,8.48811936609286,13,1,1,1,11,14.35046349607248,7,2.6986985390895315
7,8.48811936609286,13,1,1,1,11,14.35046349607248,8,2.3347376031516585
7,8.48811936609286,13,1,1,1,11,14.35046349607248,9,2.7463622894895026
7,8.48811936609286,13,1,1,1,11,14.35046349607248,10,2.5606062767329423
7,8.48811936609286,13,1,1,1,11,14.35046349607248,5,2.2297829904158557
7,8.48811936609286,13,1,1,1,11,14.35046349607248,6,2.4823115268999487
