person_id,school_id,summercamp,female,parental_schooling,parental_lincome,test_year_5,test_year_6
1,5,0,1,10,12.939208973245732,NA,1.6362839220330614
2,14,1,0,11,14.7373913174694,1.2970361399150157,2.5614490799815166
3,7,1,0,14,16.08326138256038,2.761908039866146,3.52600223635053
4,8,0,0,12,14.608081289283419,1.7729126301945992,2.381062293028093
5,9,1,0,11,13.756785379313774,1.1803560455811033,1.9598178539752207
6,26,1,1,11,14.705519374977555,2.4398015345074273,2.810571056720097
7,13,1,1,11,14.35046349607248,2.2297829904158557,2.4823115268999487
8,11,0,1,13,14.975558267987138,2.4602488463966385,2.6910603775259423
9,23,1,1,11,14.348628779623803,2.291140194215291,2.5577925907552634
10,9,1,1,11,13.809875411230761,2.430166044151981,2.923926811429472
11,25,0,1,11,14.561040182695379,3.16868948168451,2.5852073171960575
12,15,0,1,11,15.207887768508293,2.875648136521712,2.740858374652379
13,3,0,1,10,13.499589284868666,1.8108672424575403,2.0153086966846727
14,4,0,0,11,14.597114632059792,2.9759346384103527,2.3350165121811073
15,17,1,0,12,14.786980602000666,3.1554669755341553,3.189930786897422
16,7,1,1,11,14.756188670336266,2.635557112661215,3.4127529656378925
17,11,1,0,14,16.13337953043446,2.8847704249937776,3.880123838317272
18,28,0,1,12,14.896106674677458,2.1573482992354718,2.9421126736667578
19,15,1,0,11,15.115083401753786,2.8893299264939865,3.9341007857678587
20,22,1,1,15,16.020507215662413,3.036339960208977,3.3844621316714987
21,8,1,1,12,14.78527964810785,2.97858589347351,2.7337725489206677
22,3,1,1,14,16.537621998952808,3.0681757168730415,4.062877389987376
23,4,0,0,11,13.886178487345527,2.3725981500810898,1.871700012600739
24,7,1,1,11,14.863507772024521,1.4625059611107685,2.0910655003203487
25,16,0,1,11,14.578422311090005,2.4835234704966114,2.4453038477370956
26,21,1,1,14,15.500401943142817,3.207631758568021,3.271760544071624
27,4,1,1,11,14.850098723869745,3.0972770931052547,2.911610209782829
28,12,1,1,11,14.27852580042471,2.1277089298591703,2.9994841554538563
29,24,0,0,11,14.428253351425553,2.186443844124274,1.936495649635398
30,28,0,0,11,13.821599657990804,2.0686989722506777,1.5852851844802733
31,7,1,0,12,14.32113444024613,2.4027453796535565,3.675662244744009
32,14,0,1,10,13.935071077350054,1.8201934565082907,1.7303044897800182
33,7,0,1,13,15.325997928816696,3.0659535910039097,2.2006776612314933
34,15,1,1,11,13.609921771452283,1.0307866515972595,1.909976868367245
35,22,0,1,11,13.958066685979569,1.9671010103938977,NA
36,30,0,1,11,14.41366116504807,2.2216059306355658,1.9556281572675522
37,27,0,0,12,14.818179791535549,2.10509175017243,1.9223728149857557
38,29,0,0,11,14.32132089670768,2.2350816770093043,1.9822429251932856
39,27,0,0,11,14.4067834650854,1.8703504281751089,2.3994561998518913
40,16,0,0,11,14.411241159865359,1.9396586740934454,2.761572962021886
41,7,0,0,11,14.509306608276981,2.108459796087698,1.6359460243961292
42,2,1,1,11,14.865436525246112,3.4069789589611514,3.6996195337432765
43,4,1,1,10,13.403296205987061,NA,1.0772721437804684
44,6,1,0,11,14.989794909962482,2.8394405852552187,3.4035617981917294
45,9,0,0,12,15.058650400544762,2.3099360453406463,3.0778012257986576
46,25,0,0,11,14.233788111906831,1.5084114103070676,1.6527780704222785
47,4,1,1,10,13.87653754268096,0.7798176457721478,1.9206604219676573
48,11,0,1,10,13.88324845473947,1.63549116777906,2.26248675961858
49,19,1,0,12,14.3430643463369,1.493971337827858,2.279928390237301
50,22,0,1,11,14.725786353978371,2.2679845818358335,2.7712517924201476
51,12,1,1,11,14.26123583492754,2.298858941105479,2.932344580059251
52,23,1,1,10,12.778404661658273,0.5761151828548476,1.1207325857116766
53,24,0,1,11,14.27300564513494,1.7369006365601494,2.0583019795328577
54,11,0,1,11,14.989288210730027,2.652883802576244,2.1127834726187764
55,7,1,1,12,14.539328943696546,3.0650062048896243,3.224914775649087
56,23,1,1,11,14.70740749712237,2.678151569147377,2.6171558800584793
57,28,0,1,11,14.644840352681229,1.7254133223627337,1.6154656887780694
58,26,1,0,12,14.814948837018093,2.739555613688052,3.0156562029699643
59,30,0,1,11,14.25939315852617,1.7264240777979443,1.9269034248682309
60,10,0,0,10,14.471679477530458,2.026484089458516,2.438523528068471
61,19,1,1,11,14.55913240386734,3.1847417918195235,3.51371274714843
62,19,1,1,13,15.650674400109336,3.3061416038932543,4.381564458374714
63,4,1,0,11,15.089923684269596,2.6304371117099836,3.328327292621476
64,17,0,0,11,14.006167146847252,1.5227559745575854,1.1465378468810823
65,10,0,1,11,14.113677957413143,2.023668995450664,2.067654219523542
66,1,1,0,11,15.11780271942646,3.2854713906755824,3.5718612129188454
67,19,0,1,11,14.22064530549822,2.3887056308562196,2.0413473583718735
68,19,0,0,11,14.369002099649775,1.9165746678900997,2.3646287884940556
69,28,0,0,10,14.365513187955472,2.2374873645802076,1.659063485532254
70,24,0,1,10,14.420533226161252,1.7443818725081617,1.3145299020701111
71,5,0,0,11,14.456979969572588,1.948304222485903,2.406075674586666
72,29,0,1,11,14.240440252938258,1.7893218702522922,2.1575744132284203
73,22,1,0,11,14.13854975977417,2.9375113844179865,3.3778605934516297
74,29,0,0,12,14.287377520646698,1.8659802581589833,1.128273823127193
75,19,0,1,11,14.21621166084898,2.263165585313686,1.9672092022919276
76,15,1,0,12,14.529801985380406,1.1237069661241785,2.354689277917982
77,27,0,1,10,14.259382742573278,2.1807658122805726,2.6776008152894257
78,1,1,0,12,15.62224228650946,3.665110618841795,3.1055730660117717
79,17,1,0,10,13.547681323942216,0.8191731540415526,1.8009576693243943
80,11,1,1,10,13.546416072068563,1.1648935889913548,2.7159215053881756
81,2,0,0,12,15.006095120253875,2.0922163181587248,2.6647666365203233
82,16,1,1,13,15.52976427354154,2.591634066358216,3.0847546789359916
83,5,0,0,10,13.55739852381963,1.5607562686469194,1.7798902619816563
84,12,1,1,11,14.790339879928633,1.9854266343573443,2.440556588324965
85,4,1,0,13,15.625201137551914,2.660777880254393,3.2709031825502377
86,19,1,0,12,15.21900678959274,2.970309220973138,3.967212962647872
87,7,1,0,11,14.706180233207702,1.8892575602468038,3.1454856407546745
88,10,0,0,11,14.508154668231963,2.4144932685403804,2.391891712533925
89,26,1,0,14,15.47934729103866,2.3313831979593145,2.810923825614344
90,14,0,1,12,14.594423227522043,2.49315436127499,2.812917096596039
91,23,1,1,10,13.479464202462388,1.496278102454606,1.9088208293466955
92,15,0,1,11,13.98312973155109,2.329575644969547,2.857969301999946
93,23,0,0,11,14.705468108667915,2.4077747450943234,2.3979008161873594
94,23,0,0,11,13.96302205573454,2.2489338177236937,2.183994935905417
95,28,1,1,12,14.740247343895092,2.761597391669326,3.081525153237926
96,16,0,1,13,15.926380576447283,2.9119494940994093,2.5643373019591764
97,7,0,0,10,13.93519460325403,2.050837857979674,1.4053441740769463
98,1,0,1,12,14.38973503548377,2.478337731811188,2.7238881652716116
99,2,1,0,12,15.24918648903778,2.443144761930188,3.4057780512593547
100,16,1,1,10,13.776908924726927,1.4846721331859165,2.5746679403700554
101,17,1,1,11,14.071373143973398,1.3024087139356515,1.9939995915596411
102,6,0,0,13,15.274184437980304,2.601121042408644,2.877167803902956
103,25,0,0,11,14.23881017356322,2.3183954189566554,2.655501136020559
104,6,1,0,11,14.56810551814331,2.634233048084698,2.7739756189977722
105,9,1,1,12,15.09059300536507,3.4928041557471694,3.9054526778918635
106,30,1,0,12,15.50591610740869,3.7314939659383763,4.088296855664875
107,19,0,1,10,13.357117432490673,1.9677682061935031,2.5352000340872243
108,24,1,1,12,15.138495862462372,3.1833942455705593,2.903166601750614
109,23,1,0,12,15.437710945341603,1.4921489540022437,2.703670779173831
110,30,1,0,11,14.908908846383504,2.32041666213006,2.8065125507514046
111,30,0,1,11,14.32618977197861,2.143427259775096,2.0915805263898672
112,15,1,1,11,13.674267255712634,1.3948134665215732,1.9414399931511064
113,10,0,1,10,13.76683396818325,0.9227575494057082,1.4049981354573637
114,3,0,1,11,14.413955636603834,1.7082041668830101,1.9587614931354895
115,5,0,1,10,13.668075852314841,1.2815062600174263,1.15527698965589
116,11,0,0,10,13.757785699493388,1.7401946465042575,1.93829562997673
117,23,0,1,11,14.879147011247571,2.471298912458741,2.4523864896831884
118,26,1,1,14,15.805325821213405,2.705131175472878,3.6163737698036815
119,19,0,1,11,14.885641089347903,2.5490463636955534,2.587368758396749
120,6,0,1,12,15.05498967610533,2.530608001606253,2.6638445491671585
121,2,0,1,11,14.47086581944097,2.4297427416097053,2.415446088819559
